seed,accuracy,precision,recall,f1
15,0.759916469,0.679958567,0.670279547,0.671655059
9,0.752596009,0.722519331,0.632025349,0.659027439
11,0.729257742,0.705409884,0.629903928,0.651087545
18,0.75271075,0.666664508,0.643017225,0.649520293
26,0.748098172,0.715454123,0.631178256,0.648286248
16,0.735958602,0.6657056,0.632743737,0.640094057
8,0.762234232,0.73097993,0.609282322,0.637883086
22,0.754615446,0.750256311,0.595959974,0.637780436
25,0.749004624,0.745902175,0.620125982,0.635481724
5,0.752928757,0.75417986,0.619038218,0.635187864
10,0.735717646,0.702670345,0.616648155,0.634235253
12,0.748178491,0.777219938,0.598607108,0.633227206
27,0.750048765,0.75711537,0.611682467,0.6331389
6,0.756175921,0.750592898,0.586975891,0.626977275
1,0.748212913,0.73155068,0.616454905,0.625426452
0,0.721983179,0.694611383,0.599226303,0.624218444
14,0.738230468,0.694652114,0.609079439,0.622808937
7,0.742429979,0.767033553,0.587675133,0.62257775
2,0.759124758,0.759392003,0.575764386,0.618541211
28,0.758516632,0.798898421,0.572369893,0.616002755
4,0.710118986,0.699758203,0.600481895,0.608697093
29,0.751873143,0.714829759,0.561413848,0.599157936
20,0.755510424,0.77159914,0.541698174,0.591619989
19,0.756577513,0.747420299,0.548207305,0.589292269
3,0.725574564,0.765074529,0.545894313,0.587149223
24,0.741753009,0.734907843,0.530783173,0.577469324
21,0.759950891,0.736355344,0.540780073,0.573101037
17,0.748293231,0.758839685,0.535662277,0.56936435
23,0.747719528,0.738275589,0.541442393,0.561736366
13,0.757461017,0.757333753,0.518071067,0.540305125
